time,precipitation
1957,104.07634735107422
1958,72.80072021484375
1959,76.69603729248047
1960,84.40171813964844
1961,66.63548278808594
1962,84.21298217773438
1963,119.16357421875
1964,71.45368194580078
1965,109.76637268066406
1966,120.0940933227539
1967,113.74029541015625
1968,110.4664306640625
1969,100.06671142578125
1970,102.54840087890625
1971,109.36322021484375
1972,98.80682373046875
1973,100.7919921875
1974,94.6029281616211
1975,142.2746124267578
1976,57.65225601196289
1977,111.42886352539062
1978,122.44815826416016
1979,94.36870574951172
1980,132.10247802734375
1981,98.26996612548828
1982,102.38970947265625
1983,150.32940673828125
1984,89.87065124511719
1985,92.76691436767578
1986,129.80535888671875
1987,81.83811950683594
1988,92.88812255859375
1989,82.43722534179688
1990,112.72056579589844
1991,94.42577362060547
1992,95.4322509765625
1993,42.31733703613281
1994,68.88745880126953
1995,132.17263793945312
1996,96.77767181396484
1997,89.33456420898438
1998,104.64219665527344
1999,111.17677307128906
2000,81.1963119506836
2001,95.78140258789062
2002,63.620365142822266
2003,125.21528625488281
2004,97.06581115722656
2005,154.55520629882812
2006,120.08817291259766
2007,102.83710479736328
2008,110.64360809326172
2009,92.61483001708984
2010,96.17735290527344
2011,109.75924682617188
2012,80.35638427734375
2013,99.24940490722656
2014,153.87435913085938
2015,119.15786743164062
2016,113.8428726196289
2017,103.79364776611328
2018,121.72309875488281
