ensemble,leadtime,year,precipitation
0,2,1981,78.74676585197449
0,2,1982,67.19455122947693
0,2,1983,66.17909669876099
0,2,1984,70.36957144737244
0,2,1985,46.80771380662918
0,2,1986,47.631192952394485
0,2,1987,60.72264537215233
0,2,1988,52.02442407608032
0,2,1989,47.54621908068657
0,2,1990,61.55596673488617
0,2,1991,44.078268110752106
0,2,1992,33.36608409881592
0,2,1993,46.19874060153961
0,2,1994,66.10441207885742
0,2,1995,31.658705323934555
0,2,1996,49.47752133011818
0,2,1997,56.63134530186653
0,2,1998,60.434695333242416
0,2,1999,35.343002527952194
0,2,2000,58.738064020872116
0,2,2001,67.13300943374634
0,2,2002,66.70654565095901
0,2,2003,39.653658866882324
0,2,2004,78.52753251791
0,2,2005,66.92381203174591
0,2,2006,97.81057387590408
0,2,2007,66.39628112316132
0,2,2008,57.15981870889664
0,2,2009,56.354645639657974
0,2,2010,66.18301570415497
0,2,2011,56.377675384283066
0,2,2012,54.793067276477814
0,2,2013,73.26673716306686
0,2,2014,95.6885814666748
0,2,2015,49.15320873260498
0,3,1981,48.251841217279434
0,3,1982,60.07000803947449
0,3,1983,49.609821289777756
0,3,1984,33.062729984521866
0,3,1985,68.07947158813477
0,3,1986,65.30016660690308
0,3,1987,79.60133999586105
0,3,1988,62.64727562665939
0,3,1989,47.00422286987305
0,3,1990,60.95649674534798
0,3,1991,55.48887699842453
0,3,1992,66.4217546582222
0,3,1993,58.722179383039474
0,3,1994,81.39488846063614
0,3,1995,78.63377034664154
0,3,1996,96.25253081321716
0,3,1997,122.22380191087723
0,3,1998,40.659673511981964
0,3,1999,32.6744019985199
0,3,2000,57.863518595695496
0,3,2001,47.846607863903046
0,3,2002,51.690660417079926
0,3,2003,66.32473319768906
0,3,2004,78.10529321432114
0,3,2005,61.606574803590775
0,3,2006,53.09273302555084
0,3,2007,62.18439340591431
0,3,2008,47.742556780576706
0,3,2009,45.912954956293106
0,3,2010,43.849777430295944
0,3,2011,71.63535803556442
0,3,2012,71.1488351225853
0,3,2013,50.33745616674423
0,3,2014,57.49224126338959
0,3,2015,43.03734749555588
0,4,1981,56.99051171541214
0,4,1982,46.200621873140335
0,4,1983,58.31518769264221
0,4,1984,55.008821189403534
0,4,1985,62.59146332740784
0,4,1986,99.41668808460236
0,4,1987,71.2755024433136
0,4,1988,58.55528637766838
0,4,1989,50.13888329267502
0,4,1990,48.45397174358368
0,4,1991,76.64026319980621
0,4,1992,40.301550179719925
0,4,1993,100.36296397447586
0,4,1994,35.298336297273636
0,4,1995,60.77878922224045
0,4,1996,40.70764780044556
0,4,1997,42.844414710998535
0,4,1998,109.69558358192444
0,4,1999,74.81581717729568
0,4,2000,46.57217115163803
0,4,2001,35.47794371843338
0,4,2002,60.05457788705826
0,4,2003,44.865839183330536
0,4,2004,65.34377485513687
0,4,2005,75.15094429254532
0,4,2006,53.518302738666534
0,4,2007,63.37982416152954
0,4,2008,44.06697303056717
0,4,2009,80.320343375206
0,4,2010,51.74311622977257
0,4,2011,59.63463336229324
0,4,2012,69.88614797592163
0,4,2013,63.029661774635315
0,4,2014,43.01450401544571
0,4,2015,86.05410158634186
0,5,1981,63.940852880477905
0,5,1982,65.1998370885849
0,5,1983,34.32842344045639
0,5,1984,47.09358885884285
0,5,1985,91.9981449842453
0,5,1986,52.366890013217926
0,5,1987,38.35397586226463
0,5,1988,45.156169682741165
0,5,1989,108.76336693763733
0,5,1990,59.927184134721756
0,5,1991,46.255744993686676
0,5,1992,43.74292865395546
0,5,1993,49.45170879364014
0,5,1994,43.95187646150589
0,5,1995,72.33178615570068
0,5,1996,37.574999034404755
0,5,1997,56.911565363407135
0,5,1998,53.664062172174454
0,5,1999,43.32347214221954
0,5,2000,48.161838203668594
0,5,2001,96.20216488838196
0,5,2002,99.87267106771469
0,5,2003,62.50159442424774
0,5,2004,78.71225476264954
0,5,2005,76.86472684144974
0,5,2006,56.416261941194534
0,5,2007,59.40641835331917
0,5,2008,71.81517034769058
0,5,2009,87.61796355247498
0,5,2010,78.94188910722733
0,5,2011,37.40150108933449
0,5,2012,67.85885989665985
0,5,2013,90.40050953626633
0,5,2014,87.16806024312973
0,5,2015,60.425788164138794
1,2,1981,55.613353848457336
1,2,1982,84.64080840349197
1,2,1983,75.13660192489624
1,2,1984,70.98545879125595
1,2,1985,69.21317428350449
1,2,1986,45.03767937421799
1,2,1987,57.97448009252548
1,2,1988,58.15607309341431
1,2,1989,41.78184270858765
1,2,1990,107.99846798181534
1,2,1991,83.51633697748184
1,2,1992,59.82765555381775
1,2,1993,62.27600574493408
1,2,1994,34.81020778417587
1,2,1995,66.3614496588707
1,2,1996,73.941670358181
1,2,1997,72.07105308771133
1,2,1998,51.70845612883568
1,2,1999,49.396805465221405
1,2,2000,78.82463186979294
1,2,2001,49.735795706510544
1,2,2002,65.77619910240173
1,2,2003,54.35515195131302
1,2,2004,57.33507126569748
1,2,2005,88.79699558019638
1,2,2006,65.29794633388519
1,2,2007,100.10838508605957
1,2,2008,101.38007253408432
1,2,2009,68.0076852440834
1,2,2010,31.66748955845833
1,2,2011,57.21330642700195
1,2,2012,59.723809361457825
1,2,2013,70.65548747777939
1,2,2014,64.52509760856628
1,2,2015,63.85079771280289
1,3,1981,58.90023335814476
1,3,1982,51.88851058483124
1,3,1983,70.75748592615128
1,3,1984,57.21279978752136
1,3,1985,85.54433286190033
1,3,1986,42.94726252555847
1,3,1987,47.21858352422714
1,3,1988,60.436662286520004
1,3,1989,54.66066673398018
1,3,1990,43.52135956287384
1,3,1991,66.34390354156494
1,3,1992,67.3053115606308
1,3,1993,63.02797794342041
1,3,1994,46.12548649311066
1,3,1995,69.21856850385666
1,3,1996,52.171677350997925
1,3,1997,49.687329679727554
1,3,1998,35.14615446329117
1,3,1999,59.90077555179596
1,3,2000,62.1405690908432
1,3,2001,60.695841908454895
1,3,2002,85.6483057141304
1,3,2003,48.50653186440468
1,3,2004,55.70382997393608
1,3,2005,44.625237584114075
1,3,2006,47.1690371632576
1,3,2007,33.871110528707504
1,3,2008,60.628555715084076
1,3,2009,54.79543283581734
1,3,2010,51.88335105776787
1,3,2011,39.60643708705902
1,3,2012,62.65711784362793
1,3,2013,46.69186845421791
1,3,2014,44.27274316549301
1,3,2015,36.66786104440689
1,4,1981,54.4884167611599
1,4,1982,35.133350640535355
1,4,1983,54.97581139206886
1,4,1984,67.29210913181305
1,4,1985,74.06137883663177
1,4,1986,53.61209064722061
1,4,1987,62.01182305812836
1,4,1988,47.27085307240486
1,4,1989,44.042836874723434
1,4,1990,63.59358876943588
